,radius,conc,steps seeds,steps walkers,fractal dimension
541,5,0.054609000000000005,2.375,1.75,2.5338
542,5,0.054609000000000005,2.375,2.375,2.5236
543,5,0.054609000000000005,2.375,3.0,2.5341
544,5,0.054609000000000005,3.0,0.5,2.4789
545,5,0.054609000000000005,3.0,1.125,2.4984
546,5,0.054609000000000005,3.0,1.75,2.5098
547,5,0.054609000000000005,3.0,2.375,2.4767
548,5,0.054609000000000005,3.0,3.0,2.5096
549,5,0.069503,0.5,0.5,2.5813
550,5,0.069503,0.5,1.125,2.5738
551,5,0.069503,0.5,1.75,2.5661
552,5,0.069503,0.5,2.375,2.5868
553,5,0.069503,0.5,3.0,2.5786
554,5,0.069503,1.125,0.5,2.5659
555,5,0.069503,1.125,1.125,2.5764
556,5,0.069503,1.125,1.75,2.5644
557,5,0.069503,1.125,2.375,2.5639999999999996
558,5,0.069503,1.125,3.0,2.5624
559,5,0.069503,1.75,0.5,2.5446
560,5,0.069503,1.75,1.125,2.5423
561,5,0.069503,1.75,1.75,2.5488
562,5,0.069503,1.75,2.375,2.5567
563,5,0.069503,1.75,3.0,2.5616
564,5,0.069503,2.375,0.5,2.5107
565,5,0.069503,2.375,1.125,2.5228
566,5,0.069503,2.375,1.75,2.5607
567,5,0.069503,2.375,2.375,2.5154
568,5,0.069503,2.375,3.0,2.5488
569,5,0.069503,3.0,0.5,2.5257
570,5,0.069503,3.0,1.125,2.4859
571,5,0.069503,3.0,1.75,2.4816
572,5,0.069503,3.0,2.375,2.479
573,5,0.069503,3.0,3.0,2.4869
574,5,0.084396,0.5,0.5,2.5799
575,5,0.084396,0.5,1.125,2.5617
576,5,0.084396,0.5,1.75,2.5688
577,5,0.084396,0.5,2.375,2.5899
578,5,0.084396,0.5,3.0,2.5872
579,5,0.084396,1.125,0.5,2.5547
580,5,0.084396,1.125,1.125,2.5692
581,5,0.084396,1.125,1.75,2.5819
582,5,0.084396,1.125,2.375,2.5557
583,5,0.084396,1.125,3.0,2.5595
584,5,0.084396,1.75,0.5,2.5599
585,5,0.084396,1.75,1.125,2.5647
586,5,0.084396,1.75,1.75,2.5835
587,5,0.084396,1.75,2.375,2.5512
588,5,0.084396,1.75,3.0,2.5447
589,5,0.084396,2.375,0.5,2.5158
590,5,0.084396,2.375,1.125,2.5212
591,5,0.084396,2.375,1.75,2.5343
592,5,0.084396,2.375,2.375,2.5122
593,5,0.084396,2.375,3.0,2.5292
594,5,0.084396,3.0,0.5,2.5014
595,5,0.084396,3.0,1.125,2.4747
596,5,0.084396,3.0,1.75,2.5112
597,5,0.084396,3.0,2.375,2.4969
598,5,0.084396,3.0,3.0,2.5183
599,5,0.10053,0.5,0.5,2.6036
600,5,0.10053,0.5,1.125,2.6157
601,5,0.10053,0.5,1.75,2.6013
602,5,0.10053,0.5,2.375,2.5896
603,5,0.10053,0.5,3.0,2.6091
604,5,0.10053,1.125,0.5,2.573
605,5,0.10053,1.125,1.125,2.6045
606,5,0.10053,1.125,1.75,2.5824
607,5,0.10053,1.125,2.375,2.6186
